Time;Weather data, Rain
11-26-2018 14:35:42;-1
11-26-2018 14:57:43;0
11-26-2018 14:58:35;-1
11-26-2018 15:42:43;0
11-26-2018 16:58:59;-1
11-27-2018 06:52:24;0
11-27-2018 06:53:00;-1
11-27-2018 07:11:57;0
12-02-2018 07:34:58;-1
12-02-2018 11:27:06;0
12-02-2018 12:03:32;-1
12-02-2018 15:01:27;0
12-02-2018 15:03:39;0
12-02-2018 15:19:34;-1
12-02-2018 18:50:59;-1
12-02-2018 19:12:43;0
12-03-2018 07:50:26;-1
12-03-2018 08:03:59;0
12-14-2018 22:12:50;-1
12-14-2018 22:23:17;0
12-16-2018 11:05:27;-1
12-16-2018 12:14:24;0
12-16-2018 13:03:20;-1
12-16-2018 13:16:44;0
12-16-2018 16:32:55;-1
12-16-2018 16:59:04;0
12-16-2018 16:59:37;-1
12-16-2018 23:37:31;0
12-17-2018 00:58:59;-1
12-17-2018 01:25:34;0
12-17-2018 04:31:12;0
12-17-2018 05:43:52;-1
12-17-2018 06:08:21;0
12-17-2018 07:05:49;-1
12-17-2018 08:33:56;-1
12-17-2018 09:01:16;0
12-18-2018 00:55:42;-1
12-18-2018 01:10:13;0
12-21-2018 00:35:07;-1
12-21-2018 00:50:39;0
12-21-2018 05:43:11;-1
12-21-2018 07:39:04;-1
12-21-2018 08:10:13;0
12-21-2018 08:13:53;-1
12-21-2018 08:24:09;0
12-21-2018 08:33:47;0
12-21-2018 08:34:00;-1
12-21-2018 08:45:13;-1
12-21-2018 09:03:01;0
12-21-2018 09:18:45;0
12-21-2018 09:36:04;-1
12-21-2018 11:00:22;0
12-21-2018 12:44:18;-1
12-21-2018 13:27:10;0
12-21-2018 13:36:16;-1
12-21-2018 14:47:30;0
12-21-2018 14:55:01;-1
12-21-2018 15:13:09;0
12-21-2018 15:35:30;-1
12-21-2018 15:45:46;0
12-21-2018 15:48:42;-1
12-21-2018 16:06:51;0
12-21-2018 16:13:17;-1
12-21-2018 18:00:44;0
12-21-2018 18:56:01;-1
12-21-2018 19:34:38;0
12-21-2018 19:51:57;-1
12-21-2018 20:14:16;0
12-21-2018 20:48:04;-1
12-21-2018 21:05:47;0
12-21-2018 21:26:46;-1
12-21-2018 21:55:33;0
12-21-2018 22:42:54;-1
12-21-2018 22:54:17;0
12-22-2018 00:14:50;-1
12-22-2018 00:34:35;0
12-22-2018 11:07:21;-1
12-22-2018 11:21:09;0
12-28-2018 04:58:55;-1
12-28-2018 05:48:16;0
12-28-2018 06:29:53;-1
12-28-2018 10:44:53;0
12-28-2018 11:01:58;-1
12-28-2018 11:23:07;0
12-28-2018 13:00:19;-1
12-28-2018 15:27:47;0
12-28-2018 15:30:39;-1
12-28-2018 15:45:42;0
12-28-2018 16:04:29;-1
12-28-2018 16:28:30;0
12-28-2018 17:39:41;-1
12-28-2018 17:54:07;0
12-28-2018 17:59:28;-1
12-28-2018 19:08:35;0
12-31-2018 19:03:01;-1
01-01-2019 02:55:37;0
01-01-2019 04:41:20;-1
01-01-2019 05:09:12;0
01-01-2019 05:57:13;-1
01-01-2019 06:07:17;0
01-03-2019 07:44:37;-1
01-03-2019 09:02:24;0
01-05-2019 05:16:57;-1
01-05-2019 05:28:03;0
01-05-2019 05:29:41;-1
01-05-2019 06:40:23;0
01-05-2019 07:32:13;-1
01-05-2019 09:07:50;0
01-05-2019 09:15:56;-1
01-05-2019 10:28:27;0
01-05-2019 10:35:41;-1
01-05-2019 11:13:30;0
01-05-2019 12:56:58;-1
01-05-2019 13:36:22;0
01-05-2019 14:12:36;-1
01-05-2019 18:26:48;0
01-05-2019 18:47:56;-1
01-05-2019 19:46:25;0
01-08-2019 20:58:45;-1
01-08-2019 22:19:02;0
01-09-2019 06:32:55;0
01-09-2019 08:43:40;-1
01-09-2019 13:00:19;-1
01-09-2019 13:38:45;0
01-19-2019 16:44:29;-1
01-20-2019 04:05:06;0
01-20-2019 04:05:56;-1
01-20-2019 11:42:23;-1
01-20-2019 14:37:29;0
01-20-2019 14:57:17;0
01-20-2019 16:33:01;-1
01-20-2019 17:05:57;0
01-24-2019 00:37:22;-1
01-24-2019 00:55:08;0
01-24-2019 01:29:57;-1
01-24-2019 04:45:08;-1
01-24-2019 04:58:02;0
01-24-2019 05:12:31;-1
01-24-2019 05:26:34;0
01-24-2019 06:01:55;-1
01-24-2019 06:14:04;0
01-24-2019 06:31:00;-1
01-24-2019 06:41:04;0
01-24-2019 07:05:02;0
01-24-2019 07:06:47;-1
01-24-2019 07:19:49;0
01-24-2019 08:12:50;-1
01-24-2019 08:25:41;0
