Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heat Valve
12-06-2018 13:11:01;22
12-06-2018 13:13:01;21
12-06-2018 13:15:01;20
12-06-2018 13:15:23;19
12-06-2018 13:17:01;18
12-06-2018 13:19:01;16
12-06-2018 13:19:23;17
12-06-2018 13:21:01;16
12-06-2018 13:21:23;15
12-06-2018 13:23:01;14
12-06-2018 13:23:23;15
12-06-2018 13:25:01;14
12-06-2018 13:25:23;13
12-06-2018 13:27:01;12
12-06-2018 13:27:21;13
12-06-2018 13:29:01;12
12-06-2018 13:31:01;11
12-06-2018 13:33:01;10
12-06-2018 13:33:21;9
12-06-2018 13:34:01;8
12-06-2018 13:35:21;9
12-06-2018 13:36:01;8
12-06-2018 13:37:21;7
12-06-2018 13:38:01;6
12-06-2018 13:40:01;5
12-06-2018 13:41:01;4
12-06-2018 13:43:01;3
12-06-2018 13:45:01;2
12-06-2018 13:46:01;1
12-06-2018 13:48:01;0
12-07-2018 00:24:13;1
12-07-2018 00:26:13;0
12-07-2018 00:32:13;1
12-07-2018 00:35:01;2
12-07-2018 00:45:01;3
12-07-2018 00:55:01;4
12-07-2018 01:05:01;5
12-07-2018 01:14:07;6
12-07-2018 01:16:01;7
12-07-2018 01:16:07;6
12-07-2018 01:20:07;7
12-07-2018 01:22:01;8
12-07-2018 01:28:01;9
12-07-2018 01:32:01;10
12-07-2018 01:38:01;11
12-07-2018 01:42:01;12
12-07-2018 01:48:01;13
12-07-2018 01:52:01;14
12-07-2018 01:58:01;15
12-07-2018 04:00:01;59
12-07-2018 04:02:01;60
12-07-2018 04:04:01;61
12-07-2018 04:06:01;62
12-07-2018 04:08:01;63
12-07-2018 04:10:01;64
12-07-2018 04:12:01;65
12-07-2018 04:14:01;66
12-07-2018 04:16:01;67
12-07-2018 04:18:01;68
12-07-2018 04:20:01;69
12-07-2018 04:22:01;70
12-07-2018 04:24:01;71
12-07-2018 04:26:01;72
12-07-2018 04:28:01;73
12-07-2018 04:30:01;74
12-07-2018 04:32:01;75
12-07-2018 04:34:01;76
12-07-2018 04:36:01;77
12-07-2018 04:38:01;78
12-07-2018 04:40:01;79
12-07-2018 04:42:01;80
12-07-2018 04:44:01;81
12-07-2018 04:46:01;82
12-07-2018 04:48:01;83
12-07-2018 04:50:01;85
12-07-2018 04:54:01;86
12-07-2018 04:56:01;87
12-07-2018 04:58:01;89
12-07-2018 05:02:01;90
12-07-2018 05:04:01;93
12-07-2018 05:08:01;95
12-07-2018 05:10:01;96
12-07-2018 05:12:01;97
12-07-2018 05:14:01;98
12-07-2018 05:16:01;100
12-07-2018 07:03:01;16
12-07-2018 07:07:01;18
12-07-2018 07:09:01;17
12-07-2018 07:11:01;19
12-07-2018 07:17:01;20
12-07-2018 07:21:01;21
12-07-2018 07:23:01;22
12-07-2018 07:25:01;23
12-07-2018 07:29:01;24
12-07-2018 07:33:01;25
12-07-2018 07:35:01;26
12-07-2018 07:39:01;27
12-07-2018 07:43:01;28
12-07-2018 07:45:01;29
12-07-2018 07:49:01;30
12-07-2018 07:53:01;31
12-07-2018 07:55:01;32
12-07-2018 07:57:01;33
12-07-2018 07:59:01;34
12-07-2018 08:05:01;35
12-07-2018 08:07:01;37
12-07-2018 08:09:01;38
