Time;Sun screening, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position Sunscreening
09-01-2018 16:52:57;83
09-01-2018 16:52:58;78
09-01-2018 16:52:59;72
09-01-2018 16:53:00;66
09-01-2018 16:53:01;61
09-01-2018 16:53:02;55
09-01-2018 16:53:03;49
09-01-2018 16:53:04;44
09-01-2018 16:53:06;38
09-01-2018 16:53:07;33
09-01-2018 16:53:08;28
09-01-2018 16:53:09;22
09-01-2018 16:53:10;16
09-01-2018 16:53:11;11
09-01-2018 16:53:12;6
09-01-2018 16:53:13;1
09-01-2018 16:53:14;0
09-01-2018 22:00:03;1
09-01-2018 22:00:05;7
09-01-2018 22:00:05;13
09-01-2018 22:00:06;19
09-01-2018 22:00:07;25
09-01-2018 22:00:09;30
09-01-2018 22:00:09;36
09-01-2018 22:00:11;42
09-01-2018 22:00:12;47
09-01-2018 22:00:13;53
09-01-2018 22:00:14;59
09-01-2018 22:00:15;64
09-01-2018 22:00:16;70
09-01-2018 22:00:17;75
09-01-2018 22:00:18;81
09-01-2018 22:00:19;86
09-01-2018 22:00:20;92
09-01-2018 22:00:21;100
09-02-2018 00:00:02;97
09-02-2018 00:00:03;92
09-02-2018 00:00:04;86
09-02-2018 00:00:05;81
09-02-2018 00:00:06;75
09-02-2018 00:00:07;70
09-02-2018 00:00:08;65
09-02-2018 00:00:09;59
09-02-2018 00:00:10;54
09-02-2018 00:00:11;49
09-02-2018 00:00:12;43
09-02-2018 00:00:13;38
09-02-2018 00:00:14;33
09-02-2018 00:00:15;28
09-02-2018 00:00:17;23
09-02-2018 00:00:18;18
09-02-2018 00:00:19;13
09-02-2018 00:00:20;8
09-02-2018 00:00:21;3
09-02-2018 00:00:22;0
09-02-2018 09:51:36;2
09-02-2018 09:51:37;7
09-02-2018 09:51:38;12
09-02-2018 09:51:39;18
09-02-2018 09:51:40;23
09-02-2018 09:51:41;29
09-02-2018 09:51:42;34
09-02-2018 09:51:43;40
09-02-2018 09:51:44;45
09-02-2018 09:51:45;51
09-02-2018 09:51:46;56
09-02-2018 09:51:47;61
09-02-2018 09:51:48;66
09-02-2018 09:51:49;72
09-02-2018 09:51:50;77
09-02-2018 09:51:51;82
09-02-2018 09:51:52;87
09-02-2018 09:51:53;93
09-02-2018 09:51:54;100
09-02-2018 17:31:18;98
09-02-2018 17:31:19;91
09-02-2018 17:31:20;86
09-02-2018 17:31:21;80
09-02-2018 17:31:22;74
09-02-2018 17:31:23;69
09-02-2018 17:31:24;63
09-02-2018 17:31:25;57
09-02-2018 17:31:26;52
09-02-2018 17:31:27;47
09-02-2018 17:31:28;41
09-02-2018 17:31:30;35
09-02-2018 17:31:31;30
09-02-2018 17:31:31;25
09-02-2018 17:31:33;19
09-02-2018 17:31:34;14
09-02-2018 17:31:35;9
09-02-2018 17:31:36;4
09-02-2018 17:31:37;0
09-02-2018 22:00:05;5
09-02-2018 22:00:05;11
09-02-2018 22:00:07;17
09-02-2018 22:00:07;23
09-02-2018 22:00:09;29
09-02-2018 22:00:10;35
09-02-2018 22:00:11;40
09-02-2018 22:00:12;46
09-02-2018 22:00:13;52
09-02-2018 22:00:14;58
09-02-2018 22:00:15;64
09-02-2018 22:00:16;69
