Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Occupancy
07-30-2018 09:21:21;0
07-30-2018 09:59:59;-1
07-30-2018 10:08:37;0
07-30-2018 16:01:56;-1
07-30-2018 16:09:21;0
07-30-2018 17:07:39;-1
07-30-2018 17:12:50;0
07-30-2018 17:37:30;-1
07-30-2018 17:42:38;0
07-30-2018 17:44:50;-1
07-30-2018 17:53:13;0
07-30-2018 17:53:18;-1
07-30-2018 17:58:37;0
07-30-2018 17:59:32;-1
07-30-2018 18:04:38;0
07-30-2018 19:03:49;-1
07-30-2018 19:09:02;0
07-31-2018 17:14:17;-1
07-31-2018 17:21:10;0
08-01-2018 14:33:06;-1
08-01-2018 14:39:29;0
08-01-2018 20:47:07;-1
08-01-2018 20:53:54;0
08-01-2018 21:08:57;-1
08-01-2018 21:16:01;0
08-02-2018 15:44:32;-1
08-02-2018 15:49:41;0
08-03-2018 09:26:12;-1
08-03-2018 09:31:23;0
08-03-2018 14:45:24;-1
08-03-2018 14:51:27;0
08-03-2018 16:02:58;-1
08-03-2018 16:07:59;0
08-03-2018 18:33:51;-1
08-03-2018 18:39:27;0
08-05-2018 18:16:04;-1
08-05-2018 18:21:05;0
08-05-2018 23:59:21;-1
08-06-2018 00:04:22;0
08-06-2018 15:08:41;-1
08-06-2018 15:15:37;0
08-07-2018 15:40:50;-1
08-07-2018 15:46:33;0
08-07-2018 16:18:06;-1
08-07-2018 16:23:22;0
08-08-2018 16:12:41;-1
08-08-2018 16:21:03;0
08-08-2018 18:43:08;-1
08-08-2018 18:48:24;0
08-09-2018 14:35:26;-1
08-09-2018 14:43:49;0
08-09-2018 20:29:41;-1
08-09-2018 20:41:45;0
08-09-2018 20:51:33;-1
08-09-2018 20:57:51;0
08-09-2018 21:04:11;-1
08-09-2018 21:12:13;0
08-09-2018 21:19:32;-1
08-09-2018 21:26:29;0
08-10-2018 12:38:32;-1
08-10-2018 12:43:47;0
08-10-2018 12:59:23;-1
08-10-2018 13:04:34;0
08-10-2018 15:51:36;-1
08-10-2018 15:57:33;0
08-10-2018 16:18:16;-1
08-10-2018 16:27:06;0
08-11-2018 07:47:22;-1
08-11-2018 07:52:45;0
08-11-2018 10:31:27;-1
08-11-2018 10:36:36;0
08-11-2018 11:02:04;-1
08-11-2018 11:09:14;0
08-11-2018 11:17:31;-1
08-11-2018 11:28:27;0
08-11-2018 12:05:14;-1
08-11-2018 12:10:25;0
08-11-2018 12:23:33;-1
08-11-2018 12:28:34;0
08-14-2018 19:13:56;-1
08-14-2018 19:22:08;0
