Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heat Valve Status
09-11-2018 13:32:02;4
09-11-2018 13:33:02;3
09-11-2018 13:35:03;2
09-11-2018 13:36:02;1
09-11-2018 13:38:03;0
09-11-2018 15:06:15;10
09-11-2018 15:11:03;11
09-11-2018 15:18:13;21
09-11-2018 15:21:02;22
09-11-2018 15:25:03;23
09-11-2018 15:31:02;24
09-11-2018 15:35:03;25
09-11-2018 15:37:03;35
09-11-2018 15:39:03;36
09-11-2018 15:43:02;37
09-11-2018 15:47:02;38
09-11-2018 15:49:00;39
09-11-2018 15:50:10;49
09-11-2018 15:53:03;50
09-11-2018 15:55:02;51
09-11-2018 15:57:02;52
09-11-2018 15:59:02;53
09-11-2018 16:03:03;54
09-11-2018 16:05:03;55
09-11-2018 16:06:08;65
09-11-2018 16:09:02;67
09-11-2018 16:11:03;68
09-11-2018 16:13:03;69
09-11-2018 16:15:03;70
09-11-2018 16:17:03;71
09-11-2018 16:19:03;72
09-11-2018 16:20:06;82
09-11-2018 16:22:06;74
09-11-2018 16:24:06;85
09-11-2018 16:27:02;86
09-11-2018 16:29:03;88
09-11-2018 16:31:03;89
09-11-2018 16:33:03;90
09-11-2018 16:35:03;91
09-11-2018 16:37:03;92
09-11-2018 16:38:04;100
09-11-2018 16:42:04;96
09-11-2018 16:44:04;100
09-12-2018 12:08:36;0
09-12-2018 12:08:43;100
09-12-2018 23:08:34;0
09-12-2018 23:08:40;100
09-16-2018 13:08:20;0
09-16-2018 13:08:25;100
09-18-2018 18:08:11;0
09-18-2018 18:08:15;100
09-19-2018 16:08:12;0
09-19-2018 20:08:11;100
09-22-2018 15:56:03;99
09-22-2018 16:00:03;100
09-22-2018 16:04:02;99
09-22-2018 16:06:02;98
09-22-2018 16:14:03;97
09-22-2018 16:18:02;98
09-22-2018 16:24:03;97
09-22-2018 16:28:02;98
09-22-2018 16:30:03;97
09-22-2018 16:34:03;96
09-22-2018 16:38:02;97
09-22-2018 16:44:03;96
09-22-2018 17:06:03;95
09-22-2018 17:08:03;96
09-22-2018 17:18:03;95
09-22-2018 17:24:03;96
09-22-2018 17:28:03;95
09-22-2018 17:44:02;94
09-22-2018 17:56:03;93
09-22-2018 18:10:02;92
09-22-2018 18:14:02;93
09-22-2018 18:20:03;92
09-22-2018 18:24:02;93
09-22-2018 18:30:03;92
09-22-2018 18:48:03;93
09-22-2018 19:04:03;94
09-22-2018 19:08:03;95
09-22-2018 19:18:03;96
09-22-2018 19:24:02;97
09-22-2018 19:30:03;98
09-22-2018 19:36:03;99
09-22-2018 19:38:03;100
09-27-2018 18:07:41;0
09-28-2018 20:07:35;100
09-29-2018 15:07:33;0
09-29-2018 16:07:33;100
09-29-2018 22:07:32;0
09-29-2018 23:07:31;100
09-30-2018 17:07:29;0
10-01-2018 12:07:25;0
10-01-2018 15:07:25;100
10-16-2018 17:53:03;16
10-16-2018 17:54:03;17
10-16-2018 17:55:03;18
10-16-2018 17:56:03;19
10-16-2018 17:57:03;21
10-16-2018 17:59:03;22
10-16-2018 18:00:03;24
10-16-2018 18:01:03;25
10-16-2018 18:03:03;27
10-16-2018 18:05:03;30
10-16-2018 18:07:03;32
10-16-2018 18:08:03;34
10-16-2018 18:10:03;36
10-16-2018 18:12:03;39
10-16-2018 18:14:03;41
10-16-2018 18:16:03;44
10-16-2018 18:18:03;46
10-16-2018 18:20:03;49
10-16-2018 18:22:02;51
10-16-2018 18:24:03;54
10-16-2018 18:26:02;56
10-16-2018 18:28:03;59
10-16-2018 18:30:03;61
10-16-2018 18:32:03;64
10-16-2018 18:34:02;67
10-16-2018 18:36:03;69
10-16-2018 18:38:03;72
10-16-2018 18:40:03;75
10-16-2018 18:42:03;77
10-16-2018 18:44:03;80
10-16-2018 18:46:02;83
10-16-2018 18:48:02;85
10-16-2018 18:50:03;88
10-16-2018 18:52:03;90
10-16-2018 18:54:03;93
10-16-2018 18:56:03;96
10-16-2018 18:58:03;99
10-16-2018 19:00:02;100
10-16-2018 22:51:24;12
10-16-2018 22:52:03;13
10-22-2018 14:18:30;31
10-22-2018 14:19:02;34
10-22-2018 14:19:14;36
10-22-2018 14:19:48;100
10-22-2018 14:24:56;53
10-22-2018 14:25:00;100
10-22-2018 14:27:50;62
10-22-2018 14:28:02;67
10-22-2018 14:28:04;100
10-22-2018 14:31:32;76
10-22-2018 14:31:40;100
10-22-2018 14:34:10;0
10-22-2018 14:37:03;100
10-22-2018 15:19:45;0
10-22-2018 15:27:58;100
10-23-2018 11:49:21;0
10-26-2018 13:26:27;0
10-26-2018 13:26:32;100
10-26-2018 15:42:36;100
10-30-2018 09:43:54;0
10-30-2018 12:16:39;100
10-30-2018 12:24:00;0
11-01-2018 07:13:02;1
11-01-2018 07:18:02;2
11-01-2018 07:23:02;3
11-01-2018 07:31:02;4
11-01-2018 07:38:02;5
11-01-2018 07:42:02;6
11-01-2018 07:50:01;7
11-01-2018 07:55:02;8
11-01-2018 08:01:01;9
11-01-2018 08:08:01;10
11-01-2018 08:12:02;11
11-01-2018 08:26:02;12
11-01-2018 08:36:01;13
11-01-2018 08:43:01;14
11-01-2018 08:49:01;15
11-01-2018 08:53:01;16
11-01-2018 08:57:02;17
11-01-2018 09:03:02;18
11-01-2018 09:07:02;19
11-01-2018 09:17:27;18
11-01-2018 09:20:02;17
11-01-2018 09:21:24;16
11-01-2018 09:22:53;15
11-01-2018 09:25:01;14
11-01-2018 09:25:57;13
11-01-2018 09:29:01;12
11-01-2018 09:31:02;11
11-01-2018 09:36:59;12
11-01-2018 09:39:01;11
11-01-2018 09:42:01;12
11-01-2018 09:44:01;11
11-01-2018 09:48:01;12
11-01-2018 09:50:02;11
11-01-2018 10:58:01;11
11-01-2018 11:07:27;9
11-01-2018 11:07:37;10
11-01-2018 11:18:01;9
11-01-2018 11:24:02;8
11-01-2018 11:32:01;7
11-01-2018 11:38:01;6
11-01-2018 11:45:01;5
11-01-2018 11:50:01;4
11-01-2018 11:58:01;3
11-01-2018 12:05:02;2
11-01-2018 12:11:02;1
11-01-2018 12:18:02;0
11-01-2018 15:42:01;12
11-01-2018 15:44:02;11
11-01-2018 15:48:02;12
11-01-2018 18:05:24;100
11-02-2018 20:05:21;0
11-05-2018 03:21:02;5
11-05-2018 03:31:02;6
11-05-2018 03:41:01;7
11-05-2018 03:46:09;8
11-05-2018 03:48:09;7
11-05-2018 03:51:02;8
11-05-2018 03:52:09;9
11-05-2018 03:57:01;10
11-05-2018 03:58:07;9
11-05-2018 04:00:07;10
11-05-2018 04:06:08;11
11-05-2018 04:09:01;12
11-05-2018 04:15:02;13
11-05-2018 04:19:01;14
11-05-2018 04:25:01;15
11-05-2018 04:29:01;16
11-05-2018 04:35:02;17
11-05-2018 04:39:01;18
11-05-2018 04:45:01;19
11-05-2018 04:49:01;20
11-05-2018 04:55:01;22
11-05-2018 04:57:02;21
11-05-2018 04:59:02;22
11-05-2018 05:01:02;23
11-05-2018 05:03:02;24
11-05-2018 05:05:01;25
11-05-2018 05:10:01;26
11-05-2018 05:14:02;27
11-05-2018 05:16:01;28
11-05-2018 05:20:01;29
11-05-2018 05:24:01;30
11-05-2018 05:26:01;31
11-05-2018 05:30:02;32
11-05-2018 05:34:01;33
11-05-2018 05:36:02;34
11-05-2018 05:40:02;35
11-05-2018 05:44:02;36
11-05-2018 05:46:01;37
11-05-2018 05:48:01;38
11-05-2018 05:52:02;39
11-05-2018 05:56:01;41
11-05-2018 05:58:02;42
11-05-2018 06:00:02;43
11-05-2018 06:04:02;44
11-05-2018 06:05:05;49
11-05-2018 06:08:01;52
11-05-2018 06:10:02;54
11-05-2018 06:12:01;56
11-05-2018 06:14:01;58
11-05-2018 06:16:01;59
11-05-2018 06:18:02;61
11-05-2018 06:20:02;63
11-05-2018 06:22:01;65
11-05-2018 06:24:02;67
11-05-2018 06:26:01;69
11-05-2018 06:28:01;70
11-05-2018 06:30:01;72
11-05-2018 06:32:01;74
11-05-2018 06:34:01;76
11-05-2018 06:36:01;78
11-05-2018 06:38:01;80
11-05-2018 06:40:01;82
11-05-2018 06:42:01;84
11-05-2018 06:44:01;86
11-05-2018 06:46:01;88
11-05-2018 06:48:01;90
11-05-2018 06:50:01;92
11-05-2018 06:52:01;93
11-05-2018 06:54:01;95
11-05-2018 06:56:01;97
11-05-2018 06:58:01;99
11-05-2018 07:00:01;100
11-05-2018 07:40:16;1
11-05-2018 07:42:16;0
11-05-2018 07:44:16;1
11-05-2018 07:46:16;0
11-05-2018 07:48:16;1
11-05-2018 07:49:01;2
11-05-2018 07:50:15;1
11-05-2018 07:52:16;2
11-05-2018 08:01:02;3
11-05-2018 08:11:02;4
11-09-2018 14:04:50;95
11-09-2018 14:07:02;94
11-09-2018 14:09:01;92
11-09-2018 14:13:02;90
11-09-2018 14:17:02;88
11-09-2018 14:21:02;86
11-09-2018 14:25:02;84
11-09-2018 14:29:02;82
11-09-2018 14:33:02;80
11-09-2018 14:37:02;78
11-09-2018 14:41:02;75
11-09-2018 14:43:02;74
11-09-2018 14:45:02;73
11-09-2018 14:47:02;72
11-09-2018 14:51:02;70
11-09-2018 14:53:02;68
11-09-2018 14:55:02;67
11-09-2018 14:57:02;66
11-09-2018 14:59:02;65
11-09-2018 15:01:02;64
11-09-2018 15:03:02;62
11-09-2018 15:05:01;61
11-09-2018 15:07:02;60
11-09-2018 15:09:02;59
11-09-2018 15:09:20;100
11-12-2018 14:58:32;0
11-13-2018 10:41:40;100
11-15-2018 10:51:00;0
11-16-2018 20:52:45;1
11-16-2018 20:56:45;0
11-16-2018 21:02:45;1
11-16-2018 21:03:01;2
11-16-2018 21:06:45;1
11-16-2018 21:16:43;2
11-16-2018 21:18:43;1
11-16-2018 21:20:44;2
11-16-2018 21:25:01;3
11-16-2018 21:26:44;2
11-16-2018 21:32:42;3
11-16-2018 21:34:41;2
11-16-2018 21:40:42;3
11-16-2018 21:48:02;4
11-16-2018 21:58:01;5
11-16-2018 22:08:01;6
11-16-2018 22:18:02;7
11-16-2018 22:28:01;8
11-16-2018 22:38:01;9
11-16-2018 22:48:01;10
11-16-2018 22:58:01;11
11-16-2018 23:08:02;12
11-16-2018 23:18:02;13
11-16-2018 23:28:02;14
11-16-2018 23:38:02;15
11-16-2018 23:48:01;16
11-16-2018 23:58:02;17
11-17-2018 00:08:02;18
11-17-2018 00:18:01;19
11-17-2018 00:20:24;20
11-17-2018 00:22:24;19
11-17-2018 00:25:02;20
11-17-2018 00:28:24;21
11-17-2018 00:36:21;22
11-17-2018 00:39:02;23
11-17-2018 00:43:02;22
11-17-2018 00:45:02;24
11-17-2018 00:47:02;23
11-17-2018 00:49:02;24
11-17-2018 00:53:02;25
11-17-2018 00:57:01;26
11-17-2018 01:03:01;27
11-17-2018 01:07:02;28
11-17-2018 01:13:02;29
11-17-2018 01:17:01;30
11-17-2018 01:23:02;31
11-17-2018 01:27:01;32
11-17-2018 01:33:02;33
11-17-2018 01:37:02;34
11-17-2018 01:43:02;35
11-17-2018 01:47:02;36
11-17-2018 01:53:02;37
11-17-2018 01:57:02;38
11-17-2018 04:14:00;74
11-17-2018 04:18:02;76
11-17-2018 04:20:02;75
11-17-2018 04:22:02;76
11-17-2018 04:24:02;78
11-17-2018 04:26:01;77
11-17-2018 04:28:02;79
11-17-2018 04:30:01;80
11-17-2018 04:32:01;81
11-17-2018 04:36:02;82
11-17-2018 04:38:02;83
11-17-2018 04:40:02;84
11-17-2018 04:42:02;85
11-17-2018 04:46:02;86
11-17-2018 04:48:01;87
11-17-2018 04:50:01;88
11-17-2018 04:52:02;89
11-17-2018 04:56:02;90
11-17-2018 04:58:02;91
11-17-2018 05:00:02;92
11-17-2018 05:02:02;93
11-17-2018 05:06:02;94
11-17-2018 05:08:02;95
11-17-2018 05:10:02;96
11-17-2018 05:12:02;97
11-17-2018 05:16:02;98
11-17-2018 05:18:02;99
11-17-2018 05:20:02;100
11-17-2018 07:03:02;39
11-17-2018 07:07:02;40
11-17-2018 07:13:02;41
11-17-2018 07:17:02;42
11-17-2018 07:23:02;43
11-17-2018 07:27:02;44
11-17-2018 07:33:02;45
11-17-2018 07:37:02;46
11-17-2018 07:41:01;48
11-17-2018 07:43:02;47
11-17-2018 07:45:02;49
11-17-2018 07:47:01;48
11-17-2018 07:51:02;49
11-17-2018 07:55:01;50
11-17-2018 07:59:02;52
11-17-2018 08:09:02;53
11-17-2018 08:13:01;54
11-17-2018 08:15:02;55
11-17-2018 08:17:02;56
11-17-2018 08:21:02;57
11-17-2018 08:23:02;58
11-17-2018 08:27:02;59
11-17-2018 08:31:02;60
11-17-2018 08:33:02;61
11-17-2018 08:37:02;62
11-17-2018 08:41:02;63
11-17-2018 08:43:02;64
11-17-2018 08:47:02;65
11-17-2018 08:51:02;66
11-17-2018 08:53:02;67
11-17-2018 08:57:02;68
11-17-2018 09:01:02;69
11-17-2018 09:03:02;70
11-29-2018 13:30:04;0
11-29-2018 14:47:39;100
11-29-2018 14:47:50;0
11-30-2018 12:23:33;100
12-01-2018 03:42:56;1
12-01-2018 03:44:57;0
12-01-2018 03:48:57;1
12-01-2018 03:50:56;0
12-01-2018 03:56:55;1
12-01-2018 03:57:03;2
12-01-2018 03:58:55;1
12-01-2018 04:00:55;2
12-01-2018 04:02:54;1
12-01-2018 04:06:55;2
12-01-2018 04:13:02;3
12-01-2018 04:23:03;4
12-01-2018 04:33:03;5
12-01-2018 04:43:03;6
12-01-2018 04:53:02;7
12-01-2018 04:58:49;8
12-01-2018 05:00:48;7
12-01-2018 05:02:49;9
12-01-2018 05:04:49;8
12-01-2018 05:06:48;9
12-01-2018 05:09:03;10
12-01-2018 05:10:47;9
12-01-2018 05:14:47;10
12-01-2018 05:17:03;11
12-01-2018 05:22:47;12
12-01-2018 05:27:03;13
12-01-2018 05:31:02;14
12-01-2018 05:37:02;15
12-01-2018 05:41:03;16
12-01-2018 05:47:03;17
12-01-2018 05:51:03;18
12-01-2018 05:57:02;19
12-01-2018 06:01:03;20
12-01-2018 06:05:03;22
12-01-2018 06:09:03;23
12-01-2018 06:13:03;24
12-01-2018 06:15:03;23
12-01-2018 06:17:02;24
12-01-2018 06:21:03;26
12-01-2018 06:25:03;27
12-01-2018 06:27:03;28
12-01-2018 06:31:03;29
12-01-2018 06:35:03;30
12-01-2018 06:37:03;31
12-01-2018 06:41:03;32
12-01-2018 06:45:03;33
12-01-2018 06:47:03;34
12-01-2018 06:51:02;35
12-01-2018 06:55:03;36
12-01-2018 06:57:03;37
12-01-2018 06:59:03;38
12-01-2018 07:03:03;39
12-01-2018 07:05:03;40
12-01-2018 07:07:03;41
12-01-2018 07:09:03;42
12-01-2018 07:11:03;43
12-01-2018 07:15:02;44
12-01-2018 07:17:02;45
12-01-2018 07:19:03;46
12-01-2018 07:21:03;47
12-01-2018 07:25:02;48
12-01-2018 07:27:02;49
12-01-2018 07:29:02;50
12-01-2018 07:31:02;51
12-01-2018 07:35:03;52
12-01-2018 07:37:03;53
12-01-2018 07:39:03;54
12-01-2018 07:41:02;55
12-01-2018 07:45:02;56
12-01-2018 07:47:02;57
12-01-2018 07:49:03;58
12-01-2018 07:51:03;59
12-01-2018 07:53:02;61
12-01-2018 07:55:02;60
12-01-2018 07:57:03;61
12-01-2018 07:59:03;63
12-01-2018 08:01:02;64
12-01-2018 08:05:03;65
12-01-2018 08:07:02;67
12-01-2018 08:09:03;68
12-01-2018 08:11:03;69
12-01-2018 08:13:03;70
12-01-2018 08:15:02;71
12-01-2018 08:17:03;72
12-01-2018 08:19:02;73
12-01-2018 08:21:03;74
12-01-2018 08:23:02;75
12-01-2018 08:25:03;76
12-01-2018 08:27:03;77
12-01-2018 08:29:02;78
12-01-2018 08:31:04;79
12-01-2018 08:33:02;80
12-01-2018 08:35:03;81
12-01-2018 08:37:02;82
12-01-2018 08:39:02;83
12-01-2018 08:41:03;84
12-01-2018 08:43:03;85
12-01-2018 08:45:02;86
12-01-2018 08:47:03;87
12-01-2018 08:49:02;88
12-01-2018 08:51:02;89
12-01-2018 08:53:02;90
12-01-2018 08:55:02;91
12-01-2018 08:57:02;92
12-01-2018 08:59:02;93
12-01-2018 09:01:03;94
12-01-2018 09:03:03;96
12-01-2018 09:05:02;97
12-01-2018 09:09:03;99
12-01-2018 09:11:03;100
12-03-2018 11:45:09;100
